,availability_30,availability_60,availability_90,availability_365
1161,0,0,0,0
1162,10,10,11,75
1163,6,11,41,130
1164,0,0,0,67
1166,15,41,41,158
1167,9,39,69,158
1170,20,50,80,355
1171,2,23,49,237
1172,0,0,0,247
1175,0,0,0,125
1177,1,2,2,139
1180,23,53,83,83
1181,3,11,31,247
1183,1,22,52,327
1184,0,0,0,0
1185,3,24,54,226
1186,23,53,83,358
1187,2,18,48,138
1188,9,19,22,195
1189,10,32,62,121
1190,23,53,83,358
1192,0,0,0,0
1197,0,0,0,187
1198,4,16,35,269
1199,3,4,34,309
1201,3,23,23,23
1202,20,50,80,80
1203,0,0,0,0
1205,0,17,30,143
1210,11,11,11,189
1212,0,0,0,0
1214,11,16,21,21
1215,8,38,68,68
1216,2,32,62,337
1217,29,59,89,364
1218,0,0,0,0
1222,30,60,90,365
1226,0,0,0,0
1227,0,0,0,0
1230,16,46,76,165
1232,3,33,63,91
1233,0,0,0,142
1235,0,2,31,31
1236,3,25,55,287
1237,2,18,39,39
1238,24,54,84,359
1240,14,44,74,343
1241,0,0,0,0
1242,15,45,75,350
1243,0,0,0,0
1244,30,60,90,365
1245,0,0,0,0
1247,19,49,79,354
1248,19,49,79,353
1250,11,12,34,263
1252,22,52,82,357
1253,7,37,67,339
1254,8,9,9,190
1255,6,35,65,311
1256,30,60,87,93
1257,23,53,83,358
1258,0,0,0,0
1263,0,24,54,298
1265,2,6,6,162
1267,5,5,19,263
1269,0,0,0,67
1270,4,4,4,251
1272,12,42,72,339
1275,8,30,60,87
1277,30,60,90,365
1278,0,22,52,146
1279,9,27,57,236
1280,0,0,0,0
1281,0,19,19,205
1282,0,0,0,0
1283,0,30,60,335
1284,0,0,0,0
1285,0,27,27,246
1286,28,28,28,28
1287,2,32,62,226
1288,0,30,52,259
1289,8,31,58,332
1290,21,51,81,356
1291,0,0,0,0
1292,0,0,0,0
1295,10,40,70,345
1296,30,60,90,364
1297,8,31,45,59
1298,0,0,0,0
1299,0,0,0,127
1300,3,3,3,28
1301,0,0,22,112
1302,3,15,24,177
1304,0,2,32,307
1305,30,60,90,365
1308,29,59,89,364
1309,0,0,0,0
1310,9,39,69,318
1313,0,0,0,0
1314,24,54,84,111
1315,0,0,0,0
1316,8,27,57,314
1317,4,34,64,339
1318,0,0,0,0
1319,27,57,87,87
1321,1,26,56,146
1322,1,1,1,2
1324,2,28,58,85
1330,14,14,14,176
1333,4,4,4,209
1335,23,53,83,358
1336,2,12,37,124
1337,0,0,0,0
1338,3,29,59,334
1340,0,0,0,0
1341,12,31,61,326
1342,2,2,2,156
1343,5,6,13,177
1344,30,60,90,365
1345,0,0,0,247
1351,0,23,53,328
1353,0,0,0,163
1357,30,60,90,365
1359,0,30,60,191
1360,1,31,61,150
1362,30,60,90,365
1363,5,24,52,79
1364,3,33,63,338
1369,0,0,0,0
1370,1,31,61,61
1373,2,29,59,149
1374,0,0,0,0
1376,4,6,36,311
1380,28,49,79,258
1381,25,55,85,142
1382,30,60,90,365
1383,0,0,0,0
1385,4,24,54,54
1386,0,0,0,0
1388,26,52,82,262
1389,0,0,0,0
1392,7,7,7,68
1394,11,41,71,346
1395,23,53,83,358
1396,3,33,63,132
1398,0,0,0,0
1400,28,58,88,177
1403,0,0,0,0
1404,28,58,88,363
1405,30,60,90,365
1409,0,0,0,0
1410,0,1,28,28
1411,0,0,0,0
1412,1,1,1,1
1414,5,35,61,61
1416,14,44,74,349
1417,29,59,89,364
1418,3,33,63,242
1419,18,48,77,120
1420,0,19,43,101
1422,0,0,0,0
1423,0,0,0,248
1427,0,0,0,0
1428,30,60,90,365
1430,0,0,0,0
1431,7,31,57,233
1432,20,42,69,266
1434,0,2,9,228
1435,30,60,90,365
1436,8,38,68,125
1437,0,23,53,291
1438,8,36,36,223
1439,2,12,20,39
1441,0,0,29,304
1442,0,3,33,308
1443,15,38,68,343
1445,30,60,90,365
1446,0,0,0,0
1447,0,4,4,118
1448,0,0,0,0
1451,17,47,50,50
1452,0,1,1,21
1453,11,12,15,15
1454,0,0,0,0
1456,1,4,13,153
1459,0,0,0,0
1461,0,0,0,0
1462,0,2,32,32
1463,3,28,53,53
1464,30,60,90,365
1465,1,4,27,73
1467,27,57,87,362
1472,5,6,6,6
1473,0,0,0,53
1477,0,0,0,0
1478,20,50,80,324
1479,0,15,22,266
1481,0,0,0,0
1482,0,0,26,115
1484,0,0,0,0
1486,0,0,0,171
1489,0,19,49,323
1490,0,0,0,0
1491,1,31,61,336
1492,17,45,75,163
1493,7,30,49,323
1496,19,49,75,254
1499,7,37,67,276
1500,0,0,0,0
1503,0,2,32,307
1507,0,0,0,0
1508,1,31,60,60
1509,2,20,41,255
1510,0,0,0,0
1511,10,40,70,160
1513,1,30,60,141
1514,30,60,90,178
1519,0,30,60,335
1520,10,40,70,345
1521,0,0,0,0
1523,0,0,0,157
1525,3,21,21,42
1526,27,57,87,362
1527,0,0,0,0
1528,0,0,0,0
1530,0,0,6,267
1532,0,0,0,0
1534,0,0,0,217
1535,0,0,0,0
1536,0,0,0,0
1538,0,0,0,0
1539,3,30,44,269
1540,7,36,66,321
1541,11,40,70,345
1542,21,43,48,138
1544,0,0,0,0
1545,0,0,0,0
1547,11,11,11,42
1550,0,0,0,0
1554,0,0,0,0
1556,3,3,31,31
1560,6,23,33,194
1561,23,53,83,83
1562,0,0,0,0
1563,0,18,48,323
1564,0,0,0,0
1566,30,60,90,365
1568,11,36,66,138
1570,3,17,22,273
1572,0,0,0,0
1573,0,21,49,290
1576,2,3,5,5
1579,0,18,48,101
1580,0,0,0,0
1583,0,0,0,0
1584,6,20,36,245
1585,0,0,0,0
1586,4,4,21,124
1588,28,58,88,88
1590,0,0,0,217
1591,0,1,31,202
1593,0,0,12,12
1599,8,38,68,343
1601,0,0,0,0
1602,0,0,0,249
1603,4,30,60,335
1604,4,18,18,18
1606,1,31,61,136
1607,5,27,36,92
1608,0,0,0,0
1609,0,0,0,0
1611,30,60,90,365
1612,24,54,83,83
1613,0,0,0,0
1615,0,0,0,0
1617,0,0,0,0
1618,8,32,62,337
1619,7,28,58,188
1622,10,40,70,336
1623,13,43,57,57
1627,6,35,61,200
1629,5,25,52,237
1630,0,0,0,0
1633,0,0,0,0
1636,16,38,38,129
1639,11,39,69,342
1640,0,0,0,0
1641,0,0,0,218
1642,13,43,73,348
1643,0,0,0,0
1644,0,0,0,0
1645,10,38,68,343
1646,7,35,65,340
1649,0,0,0,0
1650,0,4,11,209
1651,18,48,78,353
1652,0,9,39,148
1654,3,33,63,338
1655,0,0,0,0
1658,0,0,0,0
1661,4,7,36,92
1664,2,20,49,89
1666,0,0,3,273
1667,30,60,90,365
1669,0,0,0,0
1670,0,0,0,0
1671,0,0,0,0
1672,0,0,0,0
1675,0,0,0,185
1677,6,34,64,64
1678,30,60,90,365
1679,0,0,0,0
1680,23,53,83,172
1683,9,39,65,65
1688,0,0,0,0
1690,0,0,0,0
1695,0,0,3,278
1696,30,60,90,365
1699,29,29,29,264
1700,23,53,83,358
1701,0,0,0,0
1702,4,34,64,154
1703,9,39,69,159
1706,0,0,0,0
1707,0,0,0,0
1708,0,0,0,0
1709,0,0,0,186
1711,0,0,0,0
1723,0,0,0,0
1724,0,0,0,0
1729,0,0,0,0
1730,10,34,63,63
1731,5,11,37,131
1733,18,48,78,168
1735,0,0,0,0
1736,0,0,0,247
1743,0,0,0,0
1746,0,0,0,88
1749,8,13,43,318
1751,0,23,43,239
1752,0,0,0,0
1755,1,12,24,51
1756,0,0,0,0
1758,0,0,0,0
1759,1,29,55,55
1761,7,35,65,93
1762,0,18,48,323
1763,0,0,0,0
1765,30,60,90,365
1766,0,0,0,0
1767,0,0,0,0
1772,0,0,0,0
1773,1,31,61,335
1776,0,0,0,0
1778,13,43,73,348
1779,7,33,63,338
1780,0,3,3,3
1781,0,0,0,0
1790,0,0,0,0
1791,6,36,66,147
1792,0,2,32,306
1794,6,34,34,82
1796,0,0,0,0
1798,7,37,67,157
1799,24,54,84,359
1805,0,0,0,125
1808,5,25,55,330
1810,0,0,0,0
1811,6,36,66,155
1812,0,16,16,140
1814,29,57,58,58
1815,0,2,7,130
1816,15,25,40,308
1818,2,31,61,257
1820,0,0,0,1
1821,24,25,25,299
1826,0,0,0,0
1828,17,31,31,77
1829,0,20,50,325
1831,0,22,52,324
1838,0,0,0,0
1840,2,4,9,9
1841,8,26,53,78
1842,3,3,5,58
1843,30,60,90,365
1844,30,60,90,365
1846,0,0,0,0
1847,0,0,0,0
1849,0,0,0,0
1850,30,60,90,365
1853,6,32,62,179
